거래소코드,연도,변동성,무위험이자율,시총,종가,유동부채,비유동부채
1000,2018,0.011299736,1.76,52439486400,2160,14529007,3081846
1000,2019,0.012744724,2.63,48555080000,2000,15771456,1934656
1000,2020,0.01687316,1.59,50982834000,2100,15705588,1872481
1540,2008,0.006026833,3.17,55545000000,4830,14538815,10312017
1540,2009,0.006098783,0.37,80960000000,7040,28108682,8973043
1540,2010,0.005287573,0.47,69000000000,6000,29877266,7611211
1540,2011,0.005022888,0.29,78948741200,6800,44590919,7178903
1540,2012,0.004748686,0.12,87876477990,7530,44903452,8568634
1540,2013,0.004265846,0.16,1.14E+11,8970,27335173,9485037
1540,2014,0.003323324,0.13,1.55E+11,12000,42480722,14125196
1540,2015,0.00267993,0.25,2.55E+11,19550,38359461,27601656
1540,2016,0.002876156,0.65,1.67E+11,12800,51369176,13551409
1540,2017,0.003451087,0.85,1.6E+11,12250,58391130,12221332
1540,2018,0.003500349,1.76,1.29E+11,9900,52068001,13636797
1540,2019,0.003797799,2.63,1.4E+11,10750,56282378,13316262
1540,2020,0.003872022,1.59,1.7E+11,13000,44678365,12879900
1810,2008,0.016820914,3.17,27671875000,1250,51049273,33623612
1810,2009,0.015215583,0.37,49477312500,2235,33200799,37104292
1810,2010,0.011612584,0.47,55343750000,2500,40167190,27363590
1810,2011,0.013016168,0.29,41175750000,1860,43424764,44899342
1810,2012,0.013103673,0.12,49809375000,2250,43701831,60959789
1810,2013,0.011341779,0.16,57668187500,2605,55190944,48192606
1810,2014,0.01087472,0.13,52687250000,2380,58201831,56184238
1810,2015,0.009112135,0.25,74271312500,3355,70350233,43675180
1810,2016,0.008818545,0.65,74271312500,3355,60857605,38790156
1810,2017,0.008305723,0.85,63866687500,2885,67976990,42365483
1810,2018,0.009940124,1.76,59771250000,2700,71857185,44586296
1810,2019,0.010518807,2.63,50141437500,2265,44951871,48710599
1810,2020,0.014296243,1.59,69733125000,3150,36408709,54046315
1840,2008,0.003843791,3.17,1.42E+11,22700,21861431,1581219
1840,2009,0.003244056,0.37,92570400000,12900,13052195,1626307
1840,2010,0.007010262,0.47,80084160000,5580,17131317,1754229
1840,2011,0.009557506,0.29,42840720000,2985,13103551,1477058
1840,2012,0.012650637,0.12,24972480000,1740,26919560,1652116
1840,2013,0.012392563,0.16,49801440000,3470,22734127,2739736
1840,2014,0.008889891,0.13,82292932800,4155,28255065,2012900
1840,2015,0.00924471,0.25,61496884800,3105,18288338,2293868
1840,2016,0.009963216,0.65,62784259200,3170,36753060,2770008
1840,2017,0.007836817,0.85,89323977600,4510,38324593,3630859
1840,2018,0.006146902,1.76,1.33E+11,6730,28976215,4592982
1840,2019,0.00654948,2.63,91304553600,4610,37251929,5411210
1840,2020,0.008409923,1.59,1.06E+11,5330,38605869,4988554
2230,2008,0.020272825,3.17,15050000000,1075,2559120,6549745
2230,2009,0.015827803,0.37,67760000000,4840,2542182,7503562
2230,2010,0.008366629,0.47,59010000000,4215,5535105,17331596
2230,2011,0.011150614,0.29,49630000000,3545,4190726,18985080
2230,2012,0.009164288,0.12,55551188400,3950,13662343,11677742
2230,2013,0.007903268,0.16,63899688975,4385,24009500,8443920
2230,2014,0.007501401,0.13,63862314960,4020,7085498,427515
2230,2015,0.006339786,0.25,1.33E+11,7090,6997148,3114597
2230,2016,0.005894224,0.65,1.01E+11,5360,7323413,7353634
2230,2017,0.005855915,0.85,1.02E+11,5210,15434366,1147299
2230,2018,0.006345964,1.76,91953711025,4675,6851570,14145103
2230,2019,0.006718803,2.63,79267049290,4030,18275155,7130941
2230,2020,0.008978922,1.59,92445442100,4700,7719543,11802470
2290,2008,0.00348695,3.17,14756000000,11900,7831518,631885
2290,2009,0.003438945,0.37,16120000000,13000,7257545,666986
2290,2010,0.003070541,0.47,20894000000,16850,5546229,545323
2290,2011,0.003131366,0.29,16926000000,13650,6772350,702017
2290,2012,0.00308893,0.12,19158000000,15450,7186970,803973
2290,2013,0.002862542,0.16,16058000000,12950,4294211,686884
2290,2014,0.013006886,0.13,21080000000,1700,11546511,667023
2290,2015,0.012977083,0.25,29636000000,2390,9212572,868299
2290,2016,0.009661914,0.65,55738000000,4495,8963556,738479
2290,2017,0.00971707,0.85,35960000000,2900,9041387,759608
2290,2018,0.009419538,1.76,41602000000,3355,4240076,764863
2290,2019,0.008808434,2.63,44702000000,3605,10295028,711647
2290,2020,0.011064121,1.59,56172000000,4530,7260831,946814
2680,2008,0.02397657,3.17,21112000000,1015,56978336,14163178
2680,2009,0.019740807,0.37,31720000000,1525,59929051,9488010
2680,2010,0.016222779,0.47,51064000000,2455,61859317,8105605
2680,2011,0.011991312,0.29,76960000000,3700,78521390,12718692
2680,2012,0.010380776,0.12,55744000000,2680,90355375,11809785
2680,2013,0.013998821,0.16,33488000000,1610,75610542,4955997
2680,2014,0.014618601,0.13,36504000000,1755,77768755,8896712
2680,2015,0.013491621,0.25,40560000000,1950,74661364,8229504
2680,2016,0.013729034,0.65,52104000000,2505,70897617,4086488
2680,2017,0.012384777,0.85,38896000000,1870,68252849,8620791
2680,2018,0.013663598,1.76,48464000000,2330,69967378,24523217
2680,2019,0.012583063,2.63,40144000000,1930,81318099,11900494
2680,2020,0.014721104,1.59,71158658600,2650,73654508,7306730
2800,2017,0.005279643,0.85,1.14E+11,7500,17836866,8704492
2800,2018,0.004895156,1.76,1.11E+11,7330,30722985,22542023
2800,2019,0.005251559,2.63,1.03E+11,6820,34782037,38084921
2800,2020,0.005576417,1.59,1.39E+11,9140,34382056,27704232
3100,2008,0.003499322,3.17,67320000000,10200,39292062,93357157
3100,2009,0.002987951,0.37,97350000000,14750,46702664,70557988
3100,2010,0.002516739,0.47,1.12E+11,16950,53347444,67044052
3100,2011,0.00269794,0.29,1.09E+11,16500,49343334,73191421
3100,2012,0.002345001,0.12,1.4E+11,21200,32072386,77974064
3100,2013,0.002096814,0.16,1.16E+11,17650,47721384,82111430
3100,2014,0.002101873,0.13,1.23E+11,18700,68915757,160662360
3100,2015,0.002025987,0.25,1.3E+11,19650,137458862,165074754
3100,2016,0.002166146,0.65,1.19E+11,18050,55061817,164753876
3100,2017,0.001977946,0.85,1.23E+11,18650,63447468,173873130
3100,2018,0.002241907,1.76,1.12E+11,17000,66797183,180754682
3100,2019,0.002344337,2.63,1.1E+11,16600,61860436,341089565
3100,2020,0.002562218,1.59,1.78E+11,26950,85441411,315167076
3310,2008,0.067676436,3.17,7432393500,210,27161443,7449069
3310,2009,0.053265059,0.37,21235410000,600,27818382,7366352
3310,2010,,0.47,16811366250,475,21636727,8263397
3310,2011,,0.29,17094505050,483,27820437,10414303
3310,2012,,0.12,23217381600,656,26689172,11797810
3310,2013,,0.16,19961285400,564,25192218,10380442
3310,2014,,0.13,23889836250,675,20456096,12427556
3310,2015,,0.25,48487519500,1370,21128241,10313982
3310,2016,0.019164304,0.65,80163672750,2265,16301784,12034593
3310,2017,0.014773,0.85,79101902250,2235,20463120,13324500
3310,2018,0.016524373,1.76,51318907500,1450,21962658,16662059
3310,2019,0.017812258,2.63,49903213500,1410,21435776,13538367
3310,2020,0.021411683,1.59,77332284750,2185,20619864,14736607
3380,2017,0.002651949,0.85,1.19E+12,16850,2528074124,1491064970
3380,2018,0.003268019,1.76,1.08E+12,11500,3309777624,1506864946
3380,2019,0.003854364,2.63,8.02E+11,8570,3296304028,1869931911
3380,2020,0.006046417,1.59,8.32E+11,9010,3764295417,2144727468
3800,2008,0.001162886,3.17,82953200000,37400,23117035,2180190
3800,2009,0.001117117,0.37,1.33E+11,60000,26695289,1850142
3800,2010,0.00080288,0.47,1.64E+11,74000,26903525,3341946
3800,2011,0.000658551,0.29,1.74E+11,78500,28767568,7368940
3800,2012,0.000639541,0.12,1.71E+11,77000,23684987,7640188
3800,2013,0.000544001,0.16,2.44E+11,110000,23583395,3709008
3800,2014,0.000479206,0.13,2.85E+11,128700,20727271,6051612
3800,2015,0.000408769,0.25,3.33E+11,150000,24981204,7391321
3800,2016,0.000364308,0.65,3.52E+11,158600,25011491,8684829
3800,2017,0.000321301,0.85,4.34E+11,195500,26104106,7103775
3800,2018,0.00112136,1.76,2.6E+11,23400,32646702,12839267
3800,2019,0.001404429,2.63,3.88E+11,34950,35292977,15875662
3800,2020,0.00119568,1.59,4.23E+11,38100,49506170,19503578
4590,2008,0.003399756,3.17,17925000000,11950,6801711,1622324
4590,2009,0.003151636,0.37,17475000000,11650,8444048,4015869
4590,2010,0.003283746,0.47,18000000000,12000,10450682,9354346
4590,2011,0.003958185,0.29,14280000000,9520,10805946,11856895
4590,2012,0.003800756,0.12,15600000000,10400,12431112,8083464
4590,2013,0.00312462,0.16,19650000000,13100,8879233,6563759
4590,2014,0.002387243,0.13,31800000000,21200,9968098,5110702
4590,2015,0.001439023,0.25,70500000000,47000,10029706,5018023
4590,2016,0.001177791,0.65,63675000000,42450,12445627,5378441
4590,2017,0.001057057,0.85,53400000000,35600,11023947,6754610
4590,2018,0.001866506,1.76,61200000000,20400,9892741,25245978
4590,2019,0.006623363,2.63,62700000000,4180,13984104,20693470
4590,2020,0.007579768,1.59,67125000000,4475,20238447,18644877
4650,2014,0.003005987,0.13,1.12E+11,17000,113138185,52145213
4650,2015,0.001883291,0.25,1.89E+11,24100,122922672,31027718
4650,2016,0.002033739,0.65,1.65E+11,19500,168241235,58202842
4650,2017,0.002267513,0.85,1.6E+11,17400,159735897,41308414
4650,2018,0.002804525,1.76,1.23E+11,13350,145481697,61342313
4650,2019,0.002935189,2.63,1.15E+11,12550,60013930,6227025
4650,2020,0.003296489,1.59,1.24E+11,13500,57579337,4413376
4780,2008,0.014902539,3.17,23100000000,1925,63859271,10843807
4780,2009,0.012996117,0.37,37091521920,2920,42579449,9490003
4780,2010,0.009061216,0.47,49930363400,3400,42503044,6291675
4780,2011,0.008381994,0.29,84445986690,5310,49149848,10857198
4780,2012,0.007213486,0.12,80629218930,5070,54407511,8757105
4780,2013,0.00668038,0.16,84923082660,5340,48033674,19677353
4780,2014,0.006130684,0.13,85877274600,5400,48725117,13673883
4780,2015,0.00491787,0.25,1.08E+11,6810,41891296,14344474
4780,2016,0.005012197,0.65,1.08E+11,6790,43734724,11467258
4780,2017,0.004572301,0.85,1.05E+11,6630,42702098,11617283
4780,2018,0.005701115,1.76,78323255075,4925,35822852,11550912
4780,2019,0.006501769,2.63,66952467790,4210,36394190,14248099
4780,2020,0.008273478,1.59,75063099280,4720,37694899,15158998
5160,2008,0.008946644,3.17,2.4E+11,4800,523742625,140643744
5160,2009,0.006055939,0.37,2.33E+11,4655,289184186,114891270
5160,2010,0.006775991,0.47,2.52E+11,5040,253760977,106668528
5160,2011,0.008797226,0.29,2.03E+11,4050,189111691,154285519
5160,2012,0.008115734,0.12,1.75E+11,3500,177618357,130696725
5160,2013,0.007958387,0.16,1.74E+11,3470,186688719,170717287
5160,2014,0.007622987,0.13,2.12E+11,4240,215957641,186619459
5160,2015,0.008338153,0.25,1.91E+11,3810,248467594,91717092
5160,2016,0.00736909,0.65,2.28E+11,4560,220995640,100543067
5160,2017,0.006901065,0.85,2.13E+11,3935,223106224,78933506
5160,2018,0.009506371,1.76,1.33E+11,2445,190866542,69629084
5160,2019,0.010305741,2.63,1.41E+11,2595,170872143,52208908
